Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue id,Venue price level,Venue Rating,Total user ratings,Venue Category
Dublin 6,53.32255600000001,-6.272853,First Point Design Limited,53.3219424,-6.2796347,a13d64484f776bb0b4ea3da4a3687380a0fdedc1,0,0.0,0,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Mary Aikenhead Heritage Centre,53.326395700000006,-6.280661599999998,d643549d554d0f78a97ad5e211b8334f58735b3f,0,5.0,1,"['health', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Liz M Talbot,53.31964649999999,-6.275776599999999,febe8d11aca5ea0d0bb51452c49f079a83f089b3,0,4.0,1,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Cityfix Autopoint,53.32787069999999,-6.2789810999999975,e282c135c7e0320a6d2ffc25be8f9d16fd25654c,0,0.0,0,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,D D O'Brien & Company Limited,53.325072999999996,-6.2793389999999984,1cc49522cb877591b950e584166bf3bf9f96bced,0,0.0,0,"['general_contractor', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Travelodge Dublin City Centre Rathmines,53.32508850000001,-6.2650023999999975,5593b97899442482c65829b5095be79c9e05b5ee,0,3.9,356,"['lodging', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Uppercross House Hotel,53.32085299999999,-6.2651901,c0f3f7aa729c6ea3bdf4bcfd680a67913c6d5f93,0,4.2,269,"['lodging', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,D-6 Studios,53.3186578,-6.2699509,772759c8b6926c297be41aefbda92dd1c2a289f0,0,5.0,1,"['lodging', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,"Modern, homely, recently-renovated 2BR Dublin 6",53.321031100000006,-6.2732633,36000cc9c5f03634a196bcbe0650e887bd36c5a0,0,5.0,1,"['lodging', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Swan Shopping Centre,53.32277779999999,-6.2644445,4276b0169b680def0b2b37d4740cae032649f0bf,0,4.0,1593,"['shopping_mall', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Lidl,53.3257014,-6.2652895,d0b9ab9757257837d9afe173030444f41dca0afc,0,4.2,971,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Tesco Metro,53.3210126,-6.2659235,549b3193be86f36a7baa52c922f5c5d5b9f6cb89,1,3.8,263,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,MyMind (Dublin 6),53.325506000000004,-6.265333,1473e44d5b8ad76e46cf94858b895b17dc783fb7,0,4.7,18,"['health', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Bombay Pantry Rathmines,53.321598400000006,-6.2671529,6f44a54a1c07624f881af87e0f77f24d98a90cd5,0,3.6,71,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,John Hayes Cars,53.32003829999999,-6.2637806,7bf1b6f0e13bc1356132c9b12b2b1d43d7cdfc4c,0,4.7,48,"['car_dealer', 'point_of_interest', 'store', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Copán,53.3218115,-6.265598299999999,788f0f0caee8dd7f76b8e8a05a3b1895ed491e42,2,3.9,835,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Rathmines Glass,53.32036,-6.2655835,1f8f0a0700de1eee507a37b6075aa5e07e690df7,0,4.4,28,"['general_contractor', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,PhysioNow,53.3174292,-6.269854999999999,d360f70a652d9ae105ff3bf97ffb049cf440ef62,0,0.0,0,"['health', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,D6 Dental,53.32071759999999,-6.267664,84d14a77504382429bd3443873016c2ed2a1d5c4,0,5.0,41,"['dentist', 'health', 'point_of_interest', 'establishment']"
