Name,Commercial Type,Price,sq metres,Neighbourhood
"Site at Donnybrook Road, Dublin 4",Investment Property For Sale,2500000,570,Dublin 4
"49 Shelbourne Road, Ballsbridge, Dublin 4",Retail Unit For Sale,,83,Dublin 4
"Shelbourne Road, Ballsbridge, Dublin 4",Retail Unit For Sale,,83,Dublin 4
"46 Eastmoreland Lane, Dublin 4",Development Land For Sale,890000,,Dublin 4
"Block B, The Willows, Claremont Road, Sandymount, Sandymount, Dublin 4",Investment Property For Sale,8000000,1823,Dublin 4
"52 Pembroke Road, Dublin 4",Investment Property For Sale,1200000,300,Dublin 4
"120 Pembroke Road, Ballsbridge, Dublin 4",Investment Property For Sale,1975000,400,Dublin 4
"Trident House, Claremont Road, Sandymount, Dublin 4",Development Land For Sale,,,Dublin 4
"Nutley and AIG Buildings, Merrion Road, Dublin 4",Investment Property For Sale,,4017,Dublin 4
"77 Morehampton Road, Donnybrook, Dublin 4",Investment Property For Sale,,183,Dublin 4
"10 Thorncastle Street, Ringsend, Dublin 4",Investment Property For Sale,850000,83,Dublin 4
"49A Donnybrook Rd, The Crescent, Donnybrook, Donnybrook, Dublin 4",Restaurant / Bar / Hotel For Sale,,106,Dublin 4
"72 Haddington Road, Dublin 4",Office For Sale,1550000,240,Dublin 4
"Appian Way / Leeson Street Upper, Dublin 4",Development Land For Sale,4500000,930,Dublin 4
"Circle K, Donnybrook, Dublin 4",Investment Property For Sale,4000000,1052,Dublin 4
"The Greenery 3 Eirpage House, Donnybrook Road, Donnybrook, Dublin 4",Restaurant / Bar / Hotel For Sale,,150,Dublin 4
"Castleview House, 22 Sandymount Green, Sandymount, Dublin 4",Office For Sale,1450000,164,Dublin 4
"The Willows, Block B, Sandymount, Dublin 4",Investment Property For Sale,8000000,,Dublin 4
"51 Kilbarrack Road, D05 R6K2, Kilbarrack, Dublin 5",Investment Property For Sale,650000,228,Dublin 5
"McAloons, 15 Edenmore Shopping Centre, Edenmore, Dublin 5",Retail Unit For Sale,325000,180,Dublin 5
"Castle Petrol Filling Station, Artane, Dublin 5",Investment Property For Sale,2400000,250,Dublin 5
"3 Malahide Road, Artane, Dublin 5",Investment Property For Sale,650000,186,Dublin 5
"6 Coolock Village, Main Street, Coolock, Dublin 5",Retail Unit For Sale,100000,124,Dublin 5
"8& 8a Coolock Village Shopping Centre, Coolock, Dublin 5",Investment Property For Sale,,104,Dublin 5
"Greendale Road, Kilbarrack, Dublin 5",Restaurant / Bar / Hotel For Sale,,584,Dublin 5
"10 Springdale Road, Raheny, Dublin 5",Development Land For Sale,440000,,Dublin 5
"52 Brighton Road, Rathgar, Dublin 6",Investment Property For Sale,1200000,214,Dublin 6
"Mews Site, Garville Lane Upper, Rathgar Avenue, Rathgar, Dublin 6",Development Land For Sale,,,Dublin 6
"Mews Site, Garville Lane, Rathgar Avenue, Rathgar, Dublin 6",Development Land For Sale,,,Dublin 6
"174 Rathgar Road, Rathmines, D06 H5X5, Rathgar, Dublin 6",Investment Property For Sale,2000000,,Dublin 6
"27 Ranelagh Road, Ranelagh, Dublin 6",Retail Unit For Sale,1500000,242,Dublin 6
"Former Murphy & Gunn Showrooms & rear site, Milltown Road, Milltown, Dublin 6",Commercial Site For Sale,7000000,4047,Dublin 6
"Site at the Corner of Derravaragh Road & Hazelbrook Drive, Terenure, Dublin 6",Development Land For Sale,,,Dublin 6
"Site at the Corner of Derravaragh Road & Hazelbrook Drive, Terenure, Dublin 6",Investment Property For Sale,,104,Dublin 6
"73, 75, 77 Rathmines Road Upper, Rathmines, Dublin 6",Investment Property For Sale,2750000,757,Dublin 6
"65 Harold's Cross Road, Harold's Cross, Dublin 6",Investment Property For Sale,650000,156,Dublin 6
77,Development Land For Sale,,,77
"10 Wynnefield Road, Rathmines, Dublin 6",Development Land For Sale,,,Dublin 6
"240 Harold's Cross Road, Harold's Cross, Dublin 6w",Investment Property For Sale,,426,Dublin 6w
"22 Greenmount Industrial Estate, Harold's Cross, Dublin 6w",Investment Property For Sale,575000,297,Dublin 6w
