Name,Latitude,Longitude
"43 Lower Leeson Street, Dublin 2",53.333088,-6.2541479
"Ormond Quay Lower, Dublin 2",53.3462147,-6.267542199999999
"3 Kingram Place, South City Centre, D02 X893, Dublin 2",53.3340857,-6.252902199999999
"12 BRUNSWICK PLACE D02 PA09 BRUNSWICK PLACE, South City Centre, BRUNSWICK PLACE, D02 PA09, Dublin 2",53.3424308,-6.2443007
"39-43 Merrion Square, South City Centre, D02 NP96, Dublin 2",53.3354548,-6.25699
"Unit 1, Music Hall Cows Lane, Temple Bar, D08 HW42, Dublin 2",53.3443674,-6.2688172
"13 Trinity Street, Dublin 2",53.3437032,-6.2621004
"48/49 Leeson Street Lower, D02 W682, Dublin 2",53.3327102,-6.2538646
"3 Harmony Court, Harmony Row, D02 VY52, Dublin 2",53.34155029999999,-6.2437988
"5 / 5A Montague Street, Dublin 2",53.3365433,-6.264781500000001
"6 Pembroke Place, Dublin 2",53.334257,-6.2543254
"47 Merrion Square, Dublin 2",53.338154,-6.248118000000001
"14 Wentworth Place, Elbana Villas, Dublin 2",53.3405025,-6.243202699999999
"17 Fitzwilliam Place, Dublin 2",53.3332707,-6.2522864
"4 St Stephen's Green, Dublin 2",53.33999069999999,-6.2601973
"58 Fitzwilliam Square & 58 Pembroke Lane, Dublin 2",53.3338572,-6.2521092
"58 Fitzwilliam Square & 58 Pembroke Lane, Dublin 2",53.3338572,-6.2521092
"58 Fitzwilliam Square & 58 Pembroke Lane, Dublin 2",53.3314348,-6.2393893
"33-34 Essex Street, Temple Bar, Dublin 2, Dublin 2",53.3453329,-6.2652934
"33-34 Essex Street, Temple Bar, Dublin 2, Dublin 2",53.3450638,-6.267332199999999
"39 Camden Street, Dublin 2",53.3347855,-6.2641192
"Pearse Street, Dublin 2",53.3439494,-6.247707999999999
"Pearse Street, Dublin 2",53.3438545,-6.247948
"Dame Street, Dublin 2",53.3440497,-6.2669865
"Dame Street, Dublin 2",53.344183,-6.264814200000001
"Pearse Street, Dublin 2",53.3439494,-6.247707999999999
"Pearse Street, Dublin 2",53.3438545,-6.247948
"3 Nassau Street, Dublin 2",53.3421104,-6.254921599999999
"46 Merrion Square, Dublin 2",53.338287,-6.247849299999999
"46 & 47 Merrion Square, Dublin 2",53.338154,-6.248118000000001
"67 Camden Street, Dublin 2",53.33479670000001,-6.2655492
"26-28 Dawson Street, Dublin 2",53.33979859999999,-6.2588248
"29 Merrion Square, Dublin 2",53.338154,-6.248118000000001
"26 Parliament Street, Dublin 2",53.3442817,-6.2672721
"17 Clanwilliam Square, Grand Canal Dock, Dublin 2",53.3398851,-6.2396756
"94 Lower Baggot Street, Dublin 2",53.33546500000001,-6.247376000000001
"16 Fairview, Fairview, Dublin 3",53.36255,-6.2384653
"16 Fairview, Fairview, Dublin 3",53.3633306,-6.235371199999999
"80 Philipsburgh Avenue, Fairview, Dublin 3, Fairview, Dublin 3",53.3662196,-6.2393491
"147 / 148 Church Road, East Wall, Dublin 3",53.3551366,-6.2350756
"146 North Strand Road, North Strand, Dublin 3",53.3573813,-6.242697799999999
"93A Howth Road, Clontarf, Dublin 3",53.36815490000001,-6.2133638
"202 Clonliffe Road, Drumcondra, Dublin 3",53.3634001,-6.2542946
"202 Clonliffe Road, Drumcondra, Dublin 3",53.3620716,-6.2532501
"Tudor House & Beechfield House, Clontarf, Dublin 3",53.3613134,-6.201803399999999
"Unit 24 Merrion Shopping Centre, Dublin 4",53.31855669999999,-6.213863
"Site at Donnybrook Road, Dublin 4",53.3226182,-6.236988900000001
"Block B, The Willows, Claremont Road, Sandymount, Sandymount, Dublin 4",53.3306421,-6.2184042
"52 Pembroke Road, Dublin 4",53.3327222,-6.2398741
