Name,Latitude,Longitude,Classification
Cassidy's Bar,53.34634266938271,-6.25903511219553,Pub
Bowe's Lounge,53.3459275599665,-6.2577881356294105,Pub
Ruin Bar,53.3460620104911,-6.255206777487321,Pub
The Flowing Tide,53.348874350531595,-6.25759805186393,Pub
The Old Storehouse,53.345198581191504,-6.262700567062219,Pub
Lanigan's Pub,53.3477824404594,-6.257714687711281,Pub
Fitzgerald's,53.3466763621999,-6.2596817647972,Pub
The Auld Dubliner,53.345667545085405,-6.26194013111296,Pub
Oliver St John Gogarty,53.3456337071813,-6.261780672697999,Pub
J.W. Sweetman Craft Brewery,53.347156711287795,-6.25835975696222,Pub
The Bank,53.3442488106509,-6.261521483054469,Pub
Buskers Bar,53.3458058893652,-6.26042508739824,Pub
Merchant's Arch Bar & Restaurant,53.346421965755205,-6.26305531042032,Pub
O'Reilly's Bar,53.346997213371296,-6.25406804446125,Pub
Vat House,53.3447175459181,-6.261930163617259,Pub
Doyles Pub,53.345725892142895,-6.2574829316282,Pub
O'Connells,53.34734220922321,-6.260108336404881,Pub
Pipers Corner,53.349090046556704,-6.25783078423658,Pub
Bachelor Inn,53.347335014995295,-6.259916986946889,Pub
Grand Central Bar,53.348497372219,-6.25925102558867,Bar
The Oval,53.34838292943439,-6.26026718440437,Pub
River Bar,53.3469245813786,-6.25849740911559,Pub
The Workshop,53.347554628985606,-6.25478144289717,Pub
Friday's,53.34573652561271,-6.259963043284039,Pub
MacTurcaill's,53.3459479852491,-6.255161895290331,Pub
O'Shea's,53.3453600427141,-6.2618269252158,Pub
The Silver Penny (JD Wetherspoon),53.3490679784423,-6.25655695517708,Pub
Chaplin's Bar,53.3460892375195,-6.25695660599216,Bar
O'Neill's,53.344112396240206,-6.26090526580811,Pub
Club M,53.3448799393624,-6.262297499243469,Pub
O’Neills Victorian Pub and Townhouse,53.3448406003188,-6.252415550630519,Pub
Mulligan's,53.34688092634401,-6.25560142279771,Pub
Ruin Bar,53.3460620104911,-6.255206777487321,Pub
O'Reilly's Bar,53.346997213371296,-6.25406804446125,Pub
The Lombard,53.344223,-6.248787,Pub
The Windjammer,53.3454385105425,-6.248493042042121,Pub
Urban Brewing,53.349128058411,-6.24827635671541,Beer Bar
The Workshop,53.347554628985606,-6.25478144289717,Pub
Harbour Master Bar & Restaurant,53.34976625270289,-6.249087468685071,Bar
MacTurcaill's,53.3459479852491,-6.255161895290331,Pub
The Ferryman,53.346004,-6.2406783,Pub
MV Cill Airne,53.3470374065135,-6.238013449556121,Bar
Lagoona,53.3492111556165,-6.24332342575421,Bar
MV Cill Airne,53.3470374065135,-6.238013449556121,Bar
BrewDog Outpost Dublin,53.345113,-6.230644,Beer Bar
Vallence & McGrath,53.347094999999996,-6.232838,Pub
The Mayson,53.347136,-6.232531,Pub
BrewDog Outpost Dublin,53.345113,-6.230644,Beer Bar
The Mayson,53.347136,-6.232531,Pub
Vallence & McGrath,53.347094999999996,-6.232838,Pub
Dillons Parkgate Street,53.348209999999995,-6.294439,Pub
Kavanagh's,53.353381894163796,-6.2858748435974094,Pub
The Cobblestone,53.349799,-6.277846,Pub
Walsh's Pub,53.35049697211021,-6.281744828922171,Pub
The Glimmer Man Pub,53.3507740906061,-6.28211081462137,Pub
L. Mulligan Grocer,53.3509755422302,-6.28224392315904,Gastropub
Oscars Café Bar,53.348632177876794,-6.27850171297708,Pub
The Belfry,53.350244999999994,-6.282075,Pub
Delaney's,53.349707825702104,-6.27845354256617,Pub
BoCo,53.351353315108604,-6.269949207441719,Pub
The Black Sheep,53.349708363755795,-6.269065530881151,Pub
Bodkins Bar,53.3513935475774,-6.26983782742732,Pub
Kings Inn Pub,53.35198677391979,-6.26909446067395,Bar
Murray's Bar,53.35241933684689,-6.261255837061309,Pub
The Church,53.3486064395506,-6.266716011667611,Pub
The Black Sheep,53.349708363755795,-6.269065530881151,Pub
BoCo,53.351353315108604,-6.269949207441719,Pub
Madigan's,53.351453266287095,-6.26067128586052,Pub
Bodkins Bar,53.3513935475774,-6.26983782742732,Pub
Fibber Magees,53.352773,-6.260594,Pub
The Living Room,53.352484777108096,-6.2605161873594,Pub
Kings Inn Pub,53.35198677391979,-6.26909446067395,Bar
The Parnell Heritage Pub & Grill,53.352288339058,-6.262095769842241,Gastropub
Woolshed Baa & Grill,53.3501111667048,-6.267080001700339,Sports Bar
Shakespeare Pub,53.352986882886,-6.26057821411004,Pub
The Celt,53.35044157284761,-6.25507101446851,Pub
Murray's Bar,53.35241933684689,-6.261255837061309,Pub
Madigan's,53.351453266287095,-6.26067128586052,Pub
The Flowing Tide,53.348874350531595,-6.25759805186393,Pub
Madigans,53.350093883441495,-6.25928099163734,Pub
Fibber Magees,53.352773,-6.260594,Pub
The Living Room,53.352484777108096,-6.2605161873594,Pub
Pipers Corner,53.349090046556704,-6.25783078423658,Pub
The Confession Box,53.350357700901206,-6.25820210988567,Pub
Brannigan's,53.350467928707104,-6.259832913973661,Pub
Grand Central Bar,53.348497372219,-6.25925102558867,Bar
The Parnell Heritage Pub & Grill,53.352288339058,-6.262095769842241,Gastropub
Ned Keenans,53.3508807681878,-6.25446556568872,Pub
The Silver Penny (JD Wetherspoon),53.3490679784423,-6.25655695517708,Pub
Shakespeare Pub,53.352986882886,-6.26057821411004,Pub
The Brew Dock,53.35005943637321,-6.251013682214191,Pub
The Celt,53.35044157284761,-6.25507101446851,Pub
Graingers,53.351335904635,-6.250308215453741,Pub
Robert Reade's,53.350200465430696,-6.25253539019161,Pub
Urban Brewing,53.349128058411,-6.24827635671541,Beer Bar
Molloy's,53.3509791427596,-6.251352017000821,Pub
Harbour Master Bar & Restaurant,53.34976625270289,-6.249087468685071,Bar
Cleary's,53.352113921926794,-6.249761581420901,Pub
Lloyds,53.352726490872605,-6.249027547843389,Pub
Ned Keenans,53.3508807681878,-6.25446556568872,Pub
The Workshop Gastro Pub,53.3491574319509,-6.24080472668839,Pub
Nockters Pub,53.352929,-6.24700636666667,Pub
Lagoona,53.3492111556165,-6.24332342575421,Bar
Green Room Bar,53.3497545024895,-6.230292726657879,Pub
Green Room Bar,53.3497545024895,-6.230292726657879,Pub
Hanlons Bar and Restaurant,53.3573584182358,-6.288844546760809,Pub
Hyne's,53.354330000000004,-6.286654,Pub
London Irish Pub,53.3577179212093,-6.2919305160245,Pub
Kavanagh's,53.353381894163796,-6.2858748435974094,Pub
McGowan's,53.356693596521204,-6.27399322725886,Pub
The Back Page,53.3585552073271,-6.27317791385237,Bar
Berkeley,53.3570361941255,-6.268245058153219,Pub
Berkeley,53.356459252643496,-6.26789074253767,Pub
O'Brennan's,53.3536,-6.2698703,Pub
