Name,Latitude,Longitude,Classification,Cluster label
China Merchants Bank Financial Leasing (Ireland),53.33873579999999,-6.238596599999999,Company,1
Datac Control International Limited,53.341069,-6.267545399999999,Company,0
Pfizer Global Financial Shared Services (Europe),53.3413042,-6.230584899999998,Company,1
Societe Generale Securities Services Fund Accounting/Euro Vl,53.3489564,-6.247024300000001,Company,3
Ci Consultancy Limited T/a Wolter Kluwer Financial Services Ireland,53.33782909999999,-6.241714900000001,Company,1
SS&C,53.34957619999999,-6.250260400000001,Company,3
Gerson Lehrman Group,53.333093500000004,-6.2435766,Company,2
Nuance Communications Ireland Limited,53.32888149999999,-6.229229900000001,Company,4
FireEye (Dublin),53.3469618,-6.2500468,Company,3
Willis Aviation Finance Limited,53.332691000000004,-6.247334700000001,Company,2
Marin Software,53.338131499999996,-6.2411715,Company,1
CACI Life Limited & CACI Non-Life Limited,53.34017559999999,-6.2643461999999985,Company,0
Wedo Technologies,53.33283910000001,-6.2638815,Company,2
Asset Control Ireland Limited,53.3480512,-6.242688200000001,Company,1
Alkermes PLC,53.3330123,-6.2472436999999985,Company,2
Accipiter Holdings Limited,53.3461985,-6.242467299999999,Company,1
Kyne Ireland,53.338269,-6.253212,Company,2
Search Optics Ireland,53.33721260000001,-6.2740233,Company,0
Espirito Santo Investment PLC,53.3501172,-6.2578169,Company,3
Pinterest (Ireland),53.3477924,-6.2337608,Company,1
Microchip - Dublin 7,53.3466549,-6.2693379999999985,Company,0
BioMarin Ireland Limited,53.335876299999995,-6.2572239000000005,Company,2
Cloudbeds Dublin,53.343012300000005,-6.2801478,Company,0
Venterra Realty Ireland,53.334092000000005,-6.2514804,Company,2
Lonely Planet Global Limited,53.3421514,-6.2826758,Company,0
Paulson & Company Ireland,53.34980529999999,-6.2603097000000005,Company,3
Emergenetics Ireland,53.3511113,-6.248712599999998,Company,3
Goshawk Ireland,53.3414535,-6.2578944000000005,Company,2
Metlife Europe,53.333640599999995,-6.257194399999999,Company,2
Facebook Ireland Ltd,53.3440429,-6.2388825,Company,1
Transics Ireland Limited,53.33753979999999,-6.2516862999999985,Company,2
Hannover Re (Ireland) PLC,53.35141089999999,-6.2484306,Company,3
Google Ireland Limited,53.33906089999999,-6.2350702999999985,Company,1
Tableau Software,53.331491899999996,-6.231049700000001,Company,4
AIG Europe Services Limited,53.34772539999999,-6.2395451999999985,Company,1
AXA MPS Financial,53.3468988,-6.2532538,Company,3
Jinny Software,53.34906360000001,-6.2725668,Company,0
Docusign International,53.341936200000006,-6.2481412,Company,3
Inora Life Limited,53.3489564,-6.247024300000001,Company,3
Lgt Capital Partners,53.3332495,-6.2583743,Company,2
Lone Star Funds,53.33193829999999,-6.2560367,Company,2
UnipolRe Ltd,53.3413042,-6.230584899999998,Company,1
Wgz Bank Ireland PLC,53.350911399999994,-6.2493123,Company,3
Citco Fund Services (Ireland) Limited,53.347950899999994,-6.246127099999999,Company,3
Scor Global Life Reinsurance Ireland Limited,53.3461985,-6.242467299999999,Company,1
Citi NA (Ireland),53.3481341,-6.2450651,Company,3
Geneva Trading,53.346921200000004,-6.2496893999999985,Company,3
CNP/ Santander,53.3338586,-6.2605366999999985,Company,2
Athora Ireland PLC,53.3483908,-6.2504650999999996,Company,3
Maples Fund Services Ireland Limited,53.34017559999999,-6.2643461999999985,Company,0
Cosmo Pharma - Ireland,53.3458488,-6.2390763,Company,1
Zellis Ireland Limited,53.341225699999995,-6.2486824,Company,3
Octium Life DAC,53.34256260000001,-6.256766700000001,Company,2
Tmf Management (Ireland) Limited,53.3381684,-6.248103700000001,Company,2
Aareal Bank Ag,53.347950899999994,-6.246127099999999,Company,3
Admiral Administration (Ireland) Limited,53.3449563,-6.238471499999998,Company,1
Logmein,53.3438022,-6.2319723,Company,1
Dropbox,53.3338586,-6.2605366999999985,Company,2
Cattolica Life Limited,53.34994829999999,-6.2473557999999985,Company,3
Riot Games,53.34623269999999,-6.2453093,Company,3
Tata Consultancy Services,53.3325955,-6.2527021,Company,2
Mcap Europe,53.33777139999999,-6.2556682,Company,2
Ferro FinCo Ireland Limited,53.332471700000006,-6.2619526,Company,2
MUFG Fund Services (Ireland) Limited,53.3351708,-6.256516099999999,Company,2
Minds and Machines,53.34271510000001,-6.257485900000001,Company,2
Squarespace,53.34135389999999,-6.267764700000001,Company,0
Veolia Industries Global Solutions (VIGS Ireland),53.34541899999999,-6.234947600000001,Company,1
Blackrock,53.32997760000001,-6.2284554000000005,Company,4
Groupon International,53.3326375,-6.2471223,Company,2
Sidetrade Ireland,53.3378498,-6.2417951999999985,Company,1
Walkers Global,53.3462687,-6.2438870999999985,Company,3
Aersale Incorporated,53.332471700000006,-6.2619526,Company,2
Mapflow / Lexisnexis Risk Solutions,53.33584399999999,-6.2630580999999985,Company,2
Storyful Limited,53.334729700000004,-6.2463790999999995,Company,2
Hubspot Ireland Limited,53.34836379999999,-6.2413672,Company,1
Moneycorp Limited,53.33692320000001,-6.2530833,Company,2
Horizon Pharma,53.332691000000004,-6.247334700000001,Company,2
Mallinckrodt,53.3431303,-6.2545633999999986,Company,3
Nuodb Ireland,53.338964600000004,-6.251744299999999,Company,2
Total Defense,53.33049499999999,-6.228127099999999,Company,4
Zurich Incorporated Company Ireland,53.329437,-6.229419,Company,4
Blackstone Group LP,53.3365234,-6.244983299999999,Company,2
Fcstone Commodity Services (Europe) Limited,53.3445799,-6.2283474000000005,Company,1
Etsy Ireland,53.34676169999999,-6.267030200000001,Company,0
Caceis Investor Services (Ireland),53.3482193,-6.2467728,Company,3
LinkedIn Ireland,53.334287399999994,-6.2495107,Company,2
Adroll Ireland,53.3321792,-6.2457595999999995,Company,2
Aercap Aviation Solutions,53.3359921,-6.2575756999999985,Company,2
Apollo Aviation Management Limited,53.3330123,-6.2472436999999985,Company,2
Acumen Aviation LLP,53.34545110000001,-6.2334333,Company,1
Surveymonkey.Com,53.331968599999996,-6.2295720999999995,Company,4
Lgt Bank (Ireland) Limited,53.3332495,-6.2583743,Company,2
Workday,53.347927799999994,-6.275035,Company,0
International Data Group,53.347005,-6.2651309999999985,Company,0
