Name,Price,Cuisines,Link,Ranking,Reviews,Rating,Hotel,Tourism,University,Cafe,Pub,Luas,Museum,Restaurant,Company,Company KNN
Dax Restaurant,Expensive,"['French', 'European', 'Contemporary']",/Restaurant_Review-g186605-d1146791-Reviews-Dax_Restaurant-Dublin_County_Dublin.html,12,985,4.5,2.188375859350495,1.6349428223023366,1.9316906082326635,2.5121031714401534,1.734483958603523,0.6454558346398199,1.9359046255927572,1.918925202618896,3.8549354872026806,5.0506420259134766
The Little Pig Speakeasy,Average,"['Italian', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d12930262-Reviews-The_Little_Pig_Speakeasy-Dublin_County_Dublin.html,14,169,4.5,3.1697103254269496,3.5968742090651404,4.006469409667747,3.705592800783368,3.3665507691752192,2.0059375938806387,3.8718092511855144,3.453328261563199,3.1013390761705777,3.556946389272198
Keshk Cafe,Average,"['Mediterranean', 'Middle Eastern', 'Egyptian']",/Restaurant_Review-g186605-d2480052-Reviews-Keshk_Cafe-Dublin_County_Dublin.html,15,688,4.5,1.8841621748667936,1.157036458860115,1.0016173524169367,1.9634829385969015,1.3413342613200578,0.3653125170971283,1.5706396018960107,1.5356315641956595,3.630305787760419,4.47928335330697
Lavanda Restaurant,Average,"['International', 'Mediterranean', 'European']",/Restaurant_Review-g186605-d10769716-Reviews-Lavanda_Restaurant-Dublin_County_Dublin.html,16,179,4.5,1.7664020389376192,1.8110135877810496,0.9300732558157269,1.5881112003357292,1.3347267033825205,0.8251024093055829,1.534113099526336,1.3255571662136933,0.7753347690426444,3.556946389272198
JP Mooneys,Average,"['Irish', 'Bar', 'Pub']",/Restaurant_Review-g186605-d16827337-Reviews-JP_Mooneys-Dublin_County_Dublin.html,17,277,4.5,2.885123330264778,3.018355979635083,4.221101699471376,3.262846647962498,2.4018473102947833,1.5437399916039936,4.017915260664213,2.5344063335485165,3.891166083886916,5.192846058932988
Crow Street Restaurant,Average,"['Irish', 'International', 'European']",/Restaurant_Review-g186605-d15038602-Reviews-Crow_Street_Restaurant-Dublin_County_Dublin.html,19,281,4.5,3.8762711410019977,3.420803443586427,2.8617638640483904,3.753717382611723,3.9314969728346525,0.8567559544196078,3.470017725119093,3.857506489259497,2.724540870654526,3.556946389272198
SOUP DRAGON,Cheap,"['Cafe', 'International', 'European']",/Restaurant_Review-g186605-d1923786-Reviews-SOUP_DRAGON-Dublin_County_Dublin.html,20,234,4.5,3.336537184659947,2.7919792811624515,2.074778801435083,3.6478433025893415,2.851161250047315,1.4501799921128424,3.177805706161696,3.0307224550965537,2.3839732618227103,3.556946389272198
Urbanity,Average,"['Irish', 'European', 'Healthy']",/Restaurant_Review-g186605-d9976712-Reviews-Urbanity-Dublin_County_Dublin.html,21,503,4.5,2.1196824467251427,2.087696219247599,1.3593378354229855,2.117481600447639,1.6089403577903156,3.349915781780666,2.0089576303321066,1.6191699212879034,1.2753170032850973,3.556946389272198
Boco Bar + Oven,Average,"['Pizza', 'Pub', 'Gastropub']",/Restaurant_Review-g186605-d11915576-Reviews-Boco_Bar_Oven-Dublin_County_Dublin.html,22,294,4.5,2.3257626846011985,2.112849185744558,1.3593378354229855,2.2618553459327053,1.8335973276665816,1.143315966478043,2.3376961516591788,1.9312102551324615,1.3550243159904158,3.556946389272198
PHX Bistro,Average,"['Irish', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d3674448-Reviews-PHX_Bistro-Dublin_County_Dublin.html,23,928,4.5,1.9332288981706165,1.6097898558053774,1.3593378354229855,1.9731078549625725,1.4536627462581908,1.5581003636189146,1.862851620853408,1.4496361966007025,0.9927183491480587,3.556946389272198
Restaurant SIX,Average,"['Irish', 'European', 'Contemporary']",/Restaurant_Review-g186605-d13414303-Reviews-Restaurant_SIX-Dublin_County_Dublin.html,24,180,4.5,3.0519501894977754,2.6159085156837385,1.5739701252266147,2.1944809313730076,1.863331338385499,3.349915781780666,2.629908170616576,2.0540607802681143,1.8187759535486332,2.1403419318582046
Mr Fox Restaurant,Average,"['Irish', 'International', 'Central European']",/Restaurant_Review-g186605-d11804698-Reviews-Mr_Fox_Restaurant-Dublin_County_Dublin.html,25,444,4.5,2.836056606960955,2.389531817211107,1.2877937388217757,2.232980596835692,1.7939519800413581,1.840613066912454,2.3376961516591788,1.9754364441812964,1.463716106043123,4.309885538520337
The Vintage Kitchen,Average,"['Irish', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d3873866-Reviews-The_Vintage_Kitchen-Dublin_County_Dublin.html,26,2041,4.5,3.2874704613561243,3.068661912629001,2.718675670845971,3.1665974843057874,2.6232005012022808,1.456485122513333,3.068226199052672,2.540548859805299,3.898412203223763,4.227597551454314
Lovinspoon,Cheap,"['Irish', 'Cafe', 'European']",/Restaurant_Review-g186605-d3337240-Reviews-Lovinspoon-Dublin_County_Dublin.html,27,376,4.5,2.5809096457810767,1.7607076547871316,1.0731614490181465,1.7709846112834797,1.3281191454449834,0.8545703524950679,2.045484132701781,1.3906679445355892,1.1666252132323902,2.1403419318582046
F.X. Buckley Steakhouse Temple Bar,Average,"['Steakhouse', 'Irish', 'European']",/Restaurant_Review-g186605-d804494-Reviews-F_X_Buckley_Steakhouse_Temple_Bar-Dublin_County_Dublin.html,29,3175,4.5,3.8566444516804683,3.5214153095742633,2.8617638640483904,3.744092466246052,3.88854784624066,0.9152775360056464,3.470017725119093,3.837850405237792,2.760771467338762,3.556946389272198
Etto,Average,"['Irish', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d5322567-Reviews-Etto-Dublin_County_Dublin.html,30,522,4.5,2.443522820530373,1.9116254537688857,2.360955187839922,3.022223738820721,2.210228130106204,0.6781206035993251,3.104752701422347,2.41278431366422,4.043334589960706,5.410361813160229
The Blind Pig Speakeasy,Average,"['Italian', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d6849117-Reviews-The_Blind_Pig_Speakeasy-Dublin_County_Dublin.html,31,1000,4.5,3.208963704070008,3.5968742090651404,4.221101699471376,3.686342968052026,3.3665507691752192,1.830555072011293,3.83528274881584,3.3919029989953726,3.0868468374968834,3.556946389272198
Beanhive,Cheap,"['Quick Bites', 'Irish', 'Cafe']",/Restaurant_Review-g186605-d6522141-Reviews-Beanhive-Dublin_County_Dublin.html,33,1250,4.5,2.8458699516217196,2.7919792811624515,3.1479402504532294,3.4553449752759198,2.6925798595464214,1.8819751583037452,3.4334912227494185,3.011066371074849,3.543352355718253,4.70809196841936
One Society,Average,"['Italian', 'Irish', 'Pizza']",/Restaurant_Review-g186605-d15360635-Reviews-One_Society-Dublin_County_Dublin.html,34,85,5.0,2.7869898836571325,1.8110135877810496,1.2877937388217757,1.8287341094775063,1.5164345466647944,1.1879133977945624,2.118537137441131,1.62039842653926,2.173835801054143,2.1403419318582046
SOLE Seafood and Grill,Expensive,"['Irish', 'Seafood', 'European']",/Restaurant_Review-g186605-d13536271-Reviews-SOLE_Seafood_and_Grill-Dublin_County_Dublin.html,35,698,4.5,3.248217082713066,3.269885644604673,3.5056607334592784,4.061714706313198,3.568081286270105,1.1055827662642463,3.3604382180100694,3.692886785577722,2.985401166781023,3.7376370649439807
Pearl Brasserie,Expensive,"['French', 'Irish', 'European']",/Restaurant_Review-g186605-d786211-Reviews-Pearl_Brasserie-Dublin_County_Dublin.html,36,1108,4.5,2.4337094758696085,1.8864724872719267,2.360955187839922,2.9837240733580366,2.2036205721686666,0.6429780771172103,3.031699696682997,2.3550445668504634,4.101303544655483,5.410361813160229
Eatokyo Asian Street Food,Average,"['Japanese', 'Sushi', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d15319186-Reviews-Eatokyo_Asian_Street_Food-Dublin_County_Dublin.html,37,68,5.0,3.9842179322704077,2.9177441136472466,2.2894110912387124,2.8586001606043125,2.3489868467944857,2.5768582936774362,2.483802161137877,2.503693702264603,3.014385644128412,2.1403419318582046
Queen of Tarts,Average,"['Cafe', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d14775134-Reviews-Queen_of_Tarts-Dublin_County_Dublin.html,38,124,4.5,3.3954172526245343,2.942897080144206,2.0032347048338734,3.493844640738604,2.960185956016679,0.7975989956620635,3.3604382180100694,3.0122948763262056,2.3767271424858634,3.556946389272198
Red Torch Ginger,Average,"['Asian', 'Thai', 'Contemporary']",/Restaurant_Review-g186605-d799247-Reviews-Red_Torch_Ginger-Dublin_County_Dublin.html,40,1622,4.5,3.6407508691436483,3.445956410083386,3.577204830060488,3.8980911280967896,3.8621176144905114,1.143315966478043,3.616123734597792,3.781339163675392,2.9491705700967876,3.556946389272198
Mister S,Average,"['Irish', 'European', 'Grill']",/Restaurant_Review-g186605-d19043000-Reviews-Mister_S-Dublin_County_Dublin.html,43,81,5.0,2.2570692719758467,1.6600957887992955,2.074778801435083,2.723851331484917,1.8831540121981107,1.5157989962808445,2.0089576303321066,2.160940737136132,2.7825098253493032,4.70809196841936
Restaurant Patrick Guilbaud,Expensive,"['French', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d693140-Reviews-Restaurant_Patrick_Guilbaud-Dublin_County_Dublin.html,44,1306,4.5,2.463149509851902,1.9116254537688857,2.2178669946375025,3.022223738820721,2.1672790035122116,0.6249842876456466,2.958646691943648,2.3206464198124808,4.137534141339719,5.410361813160229
Forest Avenue,Expensive,"['Irish', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d5292797-Reviews-Forest_Avenue-Dublin_County_Dublin.html,46,416,4.5,1.7369620049553254,1.106730525866197,1.216249642220566,1.8191091931118353,1.2917775767885287,0.6726738517631861,1.424533592417312,1.4398081545898505,3.115831314844272,4.47928335330697
The Sussex,Average,"['Steakhouse', 'Irish', 'European']",/Restaurant_Review-g186605-d1943932-Reviews-The_Sussex-Dublin_County_Dublin.html,48,764,4.5,1.7369620049553254,1.106730525866197,1.1447055456193562,1.790234444014822,1.271954902975917,0.689283082670919,1.3880070900476373,1.4213805758195024,3.0216317634652587,4.47928335330697
Pickle,Average,"['Indian', 'Asian', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d10004867-Reviews-Pickle-Dublin_County_Dublin.html,49,717,4.5,2.158935825368201,1.6349428223023366,1.8601465116314537,2.723851331484917,1.8104708748852012,1.8926077863167603,2.0089576303321066,2.093372948311523,2.7462792286650677,4.70809196841936
TGI Fridays,Average,"['American', 'Bar', 'Central American']",/Restaurant_Review-g186605-d3832757-Reviews-TGI_Fridays-Dublin_County_Dublin.html,50,1041,4.0,2.836056606960955,2.8674381806533287,3.362572540256859,3.6670931353206835,2.785085670671943,3.349915781780666,3.506544227488768,3.073720138894032,3.369445491633922,4.70809196841936
The Little Kitchen,Average,"['Irish', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d8457840-Reviews-The_Little_Kitchen-Dublin_County_Dublin.html,51,498,4.5,1.6682685923299736,1.006118659878361,1.0731614490181465,1.6651105312610979,1.2190944394756191,0.6726738517631861,1.2784275829386134,1.3316996924704758,2.7970020640229976,2.296336391197892
Las Tapas de Lola,Average,"['Mediterranean', 'European', 'Spanish']",/Restaurant_Review-g186605-d4234586-Reviews-Las_Tapas_de_Lola-Dublin_County_Dublin.html,52,1216,4.5,2.6790430923887225,2.138002152241517,2.8617638640483904,2.92597457516401,2.2168356880437408,0.9029422592400718,2.629908170616576,2.47298107098069,2.78975594468615,4.70809196841936
Damascus Gate,Average,"['Lebanese', 'Mediterranean', 'Middle Eastern']",/Restaurant_Review-g186605-d3814223-Reviews-Damascus_Gate-Dublin_County_Dublin.html,53,730,4.5,1.7762153835983836,1.3582601908357872,1.7170583184290342,2.5602277532685087,1.6618008212906135,2.1201998618864977,1.753272113744384,1.9090971606080438,2.7535253480019146,2.398029109025621
The Bakehouse,Average,"['Irish', 'Cafe', 'European']",/Restaurant_Review-g186605-d2201173-Reviews-The_Bakehouse-Dublin_County_Dublin.html,54,866,4.5,1.7565886942768545,1.2828012913449103,1.4308819320241952,2.473603505977469,1.615547915727853,2.1201998618864977,1.753272113744384,1.8710134978159916,2.7462792286650677,2.398029109025621
I Monelli,Average,"['Italian', 'Mediterranean', 'European']",/Restaurant_Review-g186605-d6542415-Reviews-I_Monelli-Dublin_County_Dublin.html,56,590,4.5,1.226668082595569,0.6288241624239755,1.216249642220566,1.578486283970058,1.1497150811314782,0.6014211457415918,1.4975865971566613,1.2579893773890842,1.3550243159904158,2.3714179635189905
Wuff,Average,"['Irish', 'Cafe', 'International']",/Restaurant_Review-g186605-d3387184-Reviews-Wuff-Dublin_County_Dublin.html,57,641,4.5,1.8547221408845,1.5091779898175415,1.0731614490181465,1.7517347785521376,1.3380304823512892,1.1511738081720502,1.862851620853408,1.359955313251676,0.7753347690426444,1.6895028538020893
Green Nineteen,Average,"['Irish', 'Bar', 'Cafe']",/Restaurant_Review-g186605-d1604392-Reviews-Green_Nineteen-Dublin_County_Dublin.html,58,718,4.5,2.423896131208844,1.7355546882901727,2.360955187839922,2.7431011642162595,2.0384316237302356,1.2834926366975732,2.19159014218048,2.23587955746888,2.7970020640229976,4.70809196841936
Darwins Restaurant,Average,"['Steakhouse', 'Irish', 'International']",/Restaurant_Review-g186605-d2296705-Reviews-Darwins_Restaurant-Dublin_County_Dublin.html,60,1126,4.5,3.2187770487307725,2.8674381806533287,2.8617638640483904,3.830716713537092,2.963489734985448,0.8701079952677055,3.3604382180100694,3.218683758554102,2.78975594468615,3.7376370649439807
Brannigan's,Average,"['Irish', 'Bar', 'European']",/Restaurant_Review-g186605-d4831269-Reviews-Brannigan_s-Dublin_County_Dublin.html,61,290,4.5,3.3659772186422408,3.0938148791259596,2.146322898036293,2.954849324261023,2.302733941231725,2.5768582936774362,2.7394876777256,2.544234375559369,2.7390331093282203,2.1403419318582046
Sheehan's,Average,"['Irish', 'Bar', 'Pub']",/Restaurant_Review-g186605-d715997-Reviews-Sheehan_s-Dublin_County_Dublin.html,62,818,4.5,3.0617635341585396,3.244732678107714,3.648748926661698,3.936590793559474,3.204665599705557,1.587637811270458,3.6526502369674665,3.4263011460333557,3.2390153435706734,3.7376370649439807
Ginger Man,Average,"['Irish', 'Bar', 'Pub']",/Restaurant_Review-g186605-d696230-Reviews-Ginger_Man-Dublin_County_Dublin.html,63,780,4.5,2.423896131208844,2.515296649695902,2.9333079606496,2.829725411507299,2.002090055073781,0.5939566988972812,3.104752701422347,2.014748612224705,3.833197129192139,4.775867576613491
Amuse Restaurant,Expensive,"['European', 'Vegetarian Friendly', 'Gluten Free Options']",/Restaurant_Review-g186605-d6845328-Reviews-Amuse_Restaurant-Dublin_County_Dublin.html,64,337,4.5,2.816429917639426,2.7919792811624515,3.1479402504532294,3.4264702261789064,2.6298080591398176,1.7357076589537133,3.470017725119093,2.938584561244814,3.5578445943919474,4.70809196841936
Bunsen,Cheap,"['American', 'Fast food', 'Gluten Free Options']",/Restaurant_Review-g186605-d4310813-Reviews-Bunsen-Dublin_County_Dublin.html,66,1245,4.5,0.8439476408257514,0.3269885644604673,0.42926457960725856,0.9528667202014375,0.6310217830348055,0.8792429873440069,0.5844240379147947,0.8439831076819344,1.1231484972113073,2.26482319257162
Eatokyo Noodles and Sushi Bar,Average,"['Japanese', 'Sushi', 'Asian']",/Restaurant_Review-g186605-d10301565-Reviews-Eatokyo_Noodles_and_Sushi_Bar-Dublin_County_Dublin.html,67,323,4.5,3.9547778982881137,3.496262343077304,2.432499284441132,3.8403416299027633,3.6275493077079397,1.3729163040084698,3.616123734597792,3.6019773969773388,2.7317869899913734,3.556946389272198
The Old Storehouse Bar & Restaurant,Average,"['Irish', 'Bar', 'European']",/Restaurant_Review-g186605-d2338313-Reviews-The_Old_Storehouse_Bar_Restaurant-Dublin_County_Dublin.html,68,4332,4.5,3.905711174984291,3.6471801420590584,3.07639615385202,3.753717382611723,3.8191684878965195,1.2093558778991575,3.616123734597792,3.721142406358922,2.775263706012456,3.556946389272198
Platform 61,Average,"['Irish', 'European', 'Healthy']",/Restaurant_Review-g186605-d8626951-Reviews-Platform_61-Dublin_County_Dublin.html,69,433,4.5,3.1697103254269496,3.0938148791259596,3.2194843470544394,4.032839957216185,3.3632469902064503,1.0771433381931403,3.323911715640395,3.5712647656934258,3.0216317634652587,3.7376370649439807
IL VICOLETTO,Average,"['Italian', 'Steakhouse', 'Seafood']",/Restaurant_Review-g186605-d1485765-Reviews-IL_VICOLETTO-Dublin_County_Dublin.html,70,1744,4.5,3.886084485662762,3.5717212425681812,2.8617638640483904,3.705592800783368,3.891851625209429,0.9127835917658492,3.323911715640395,3.8181943212160876,2.7535253480019146,3.556946389272198
Devitt's Pub,Cheap,"['Irish', 'Bar', 'Pub']",/Restaurant_Review-g186605-d1596199-Reviews-Devitt_s_Pub-Dublin_County_Dublin.html,71,385,4.5,2.463149509851902,1.7355546882901727,2.432499284441132,2.714226415119246,2.0681656344491532,1.0983330432067755,2.19159014218048,2.276420230763646,2.630341319275513,4.70809196841936
F.X. Buckley Steakhouse at The Bull & Castle,Average,"['Steakhouse', 'Irish', 'Bar']",/Restaurant_Review-g186605-d809965-Reviews-F_X_Buckley_Steakhouse_at_The_Bull_Castle-Dublin_County_Dublin.html,72,1916,4.5,3.248217082713066,2.5907555491867793,2.2178669946375025,3.3302210625221957,2.5835551535770573,0.7544855364370869,3.6526502369674665,2.7162251107492827,2.2390508750857676,3.7376370649439807
Umi Falafel,Cheap,"['Lebanese', 'Fast food', 'Mediterranean']",/Restaurant_Review-g186605-d5003310-Reviews-Umi_Falafel-Dublin_County_Dublin.html,73,1008,4.5,0.7556275388788704,0.3018355979635083,0.28617638640483906,1.029866051126806,0.5979839933471194,0.5351303165783812,0.5844240379147947,0.8624106864522824,0.9419955137901287,2.292463506428602
Fish Shack Cafe,Average,"['Irish', 'Seafood', 'European']",/Restaurant_Review-g186605-d10093910-Reviews-Fish_Shack_Cafe-Dublin_County_Dublin.html,74,1414,4.5,3.797764383715881,2.942897080144206,2.432499284441132,3.821091797171421,3.2707411790809293,0.9681837519597299,3.323911715640395,3.305907631400416,2.5506340065701947,3.556946389272198
La Maison,Average,"['French', 'Irish', 'European']",/Restaurant_Review-g186605-d1511879-Reviews-La_Maison-Dublin_County_Dublin.html,75,845,4.5,3.336537184659947,3.2195797116107547,3.5056607334592784,4.003965208119172,3.6804097712082378,1.0403465160809522,3.3604382180100694,3.7272849326157047,2.9346783314230933,3.7376370649439807
Baan Thai Ballsbridge,Average,"['Asian', 'Thai', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d785562-Reviews-Baan_Thai_Ballsbridge-Dublin_County_Dublin.html,76,428,4.5,0.7556275388788704,0.6791300954178936,0.14308819320241953,0.8373677238133844,0.515389519127904,0.19066111450089165,0.6209505402844693,0.5270287528319504,1.7100841634959258,2.9245301565680624
F.X. Buckley Pembroke St,Average,"['Steakhouse', 'Irish', 'European']",/Restaurant_Review-g186605-d1542382-Reviews-F_X_Buckley_Pembroke_St-Dublin_County_Dublin.html,77,1131,4.5,2.306135995279669,1.8110135877810496,2.0032347048338734,2.8586001606043125,1.9690522653860947,0.516165759904571,2.483802161137877,2.130228105852219,3.9491350385816935,5.174074006512512
Lundy Foots,Average,"['Irish', 'Bar', 'European']",/Restaurant_Review-g186605-d14161947-Reviews-Lundy_Foots-Dublin_County_Dublin.html,78,175,4.5,3.60149749050059,2.892591147150288,2.0032347048338734,3.695967884417697,3.0989446727049614,0.9738127272618216,3.396964720379744,3.175686074756624,2.4926650518754174,3.556946389272198
Sparks,Average,"['Italian', 'Pizza', 'International']",/Restaurant_Review-g186605-d7653294-Reviews-Sparks-Dublin_County_Dublin.html,80,271,4.5,2.158935825368201,2.163155118738476,1.216249642220566,2.030857353156599,1.6221554736653903,2.0302519889579798,1.9359046255927572,1.6031993530202686,1.1956096905797786,3.556946389272198
Host,Average,"['Italian', 'Mediterranean', 'European']",/Restaurant_Review-g186605-d12952719-Reviews-Host-Dublin_County_Dublin.html,81,117,4.5,0.7948809175219286,0.8552008608966067,0.6438968694108879,0.8373677238133844,0.4988706242840609,0.6740273202778001,0.7305300473934934,0.44349039573970644,1.9202216242644932,2.1099837981946843
The Chop House Gastro Pub,Average,"['Steakhouse', 'Irish', 'Bar']",/Restaurant_Review-g186605-d1637232-Reviews-The_Chop_House_Gastro_Pub-Dublin_County_Dublin.html,82,901,4.5,1.1383479806486878,1.2828012913449103,1.0731614490181465,1.5014869530446893,0.8655900898173773,0.2549403182481481,1.424533592417312,0.8746957389658476,2.724540870654526,2.9245301565680624
Arthur's Pub,Average,"['Irish', 'International', 'European']",/Restaurant_Review-g186605-d2640057-Reviews-Arthur_s_Pub-Dublin_County_Dublin.html,84,1104,4.5,0.9518944320941614,0.6791300954178936,0.6438968694108879,1.4052377893879784,0.9647034588804357,0.3081799247268322,1.0227420663508906,1.0393154426476223,0.8043192463900329,1.7698098207673258
Zakura Noodle & Sushi,Average,"['Japanese', 'Sushi', 'Asian']",/Restaurant_Review-g186605-d5077732-Reviews-Zakura_Noodle_Sushi-Dublin_County_Dublin.html,85,236,4.5,1.9528555874921456,1.131883492363156,1.0016173524169367,1.9249832731342171,1.3248153664762148,0.3414796923323819,1.3880070900476373,1.508604448665816,3.5723368330656418,4.47928335330697
The Palace,Average,"['Irish', 'Bar', 'Pub']",/Restaurant_Review-g186605-d696329-Reviews-The_Palace-Dublin_County_Dublin.html,87,392,4.5,2.571096301120312,1.9116254537688857,2.5040433810423415,2.704601498753575,2.097899645168071,0.9681837519597299,2.264643146919829,2.3034473462934892,2.768017586675609,4.70809196841936
Delahunt,Average,"['Irish', 'Vegetarian Friendly', 'Vegan Options']",/Restaurant_Review-g186605-d7292134-Reviews-Delahunt-Dublin_County_Dublin.html,88,411,4.5,2.188375859350495,1.6349428223023366,2.0032347048338734,2.704601498753575,1.8501162225104246,1.7004648638480535,1.9359046255927572,2.1105720218305146,2.768017586675609,4.70809196841936
Girl and the Goose Restaurant,Average,"['Irish', 'International', 'European']",/Restaurant_Review-g186605-d10270996-Reviews-Girl_and_the_Goose_Restaurant-Dublin_County_Dublin.html,89,301,4.5,0.785067572861164,0.6791300954178936,0.14308819320241953,0.8373677238133844,0.5186932980966726,0.19487584536245875,0.6209505402844693,0.5307142685860199,1.659361328137996,2.9245301565680624
Bite of Life,Cheap,"['Irish', 'Cafe', 'European']",/Restaurant_Review-g186605-d2198404-Reviews-Bite_of_Life-Dublin_County_Dublin.html,90,194,4.5,2.335576029261963,2.31407291772023,1.9316906082326635,2.7527260805819305,2.035127844761467,0.4911899973285434,3.031699696682997,2.153569705627993,2.057897891664589,3.7376370649439807
Sova Vegan Butcher,Average,"['European', 'Vegetarian Friendly', 'Vegan Options']",/Restaurant_Review-g186605-d8491341-Reviews-Sova_Vegan_Butcher-Dublin_County_Dublin.html,91,299,4.5,2.355202718583492,1.7104017217932135,2.360955187839922,2.7719759133132724,2.0318240657926983,0.9910993437220904,2.19159014218048,2.244479094228376,2.499911171212265,4.70809196841936
Matt The Thresher,Average,"['Irish', 'Seafood', 'European']",/Restaurant_Review-g186605-d2259146-Reviews-Matt_The_Thresher-Dublin_County_Dublin.html,93,2523,4.5,2.2668826166366114,1.7104017217932135,1.9316906082326635,2.829725411507299,1.9426220336359459,0.5007347954829098,2.3376961516591788,2.1154860428359403,3.985365635265929,5.158317407199378
Bad Bobs Temple Bar,Average,"['Bar', 'Grill', 'Pub']",/Restaurant_Review-g186605-d4260395-Reviews-Bad_Bobs_Temple_Bar-Dublin_County_Dublin.html,94,1727,4.5,3.768324349733587,3.118967845622919,2.718675670845971,3.7922170480744075,3.548258612457493,1.127917771643322,3.3604382180100694,3.6400610597693914,2.615849080601819,3.556946389272198
The Boxty House,Average,"['Irish', 'Bar', 'Seafood']",/Restaurant_Review-g186605-d696229-Reviews-The_Boxty_House-Dublin_County_Dublin.html,95,6164,4.5,3.8958978303235265,3.6471801420590584,2.5755874776435514,3.715217717149039,3.7002324450208492,1.5157989962808445,3.83528274881584,3.606891417982765,2.760771467338762,3.556946389272198
