Name,Latitude,Longitude,Classification
Russell Court Hotel,53.335956,-6.263533199999999,Accommodation
Albany House,53.33621509999999,-6.2629658999999975,Accommodation
The Green Hotel,53.337375,-6.263281399999999,Accommodation
Avalon House,53.3395915,-6.2664129000000015,Accommodation
Kevin St Self Catering,53.337632000000006,-6.267606099999999,Accommodation
"The Shelbourne, Autograph Collection",53.3389725,-6.2560138000000025,Accommodation
The Fitzwilliam Hotel Dublin,53.3393583,-6.2615028,Accommodation
Cliff Townhouse,53.3392288,-6.257241599999999,Accommodation
The Merrion Hotel Dublin,53.33856779999999,-6.252861399999999,Accommodation
Fitzwilliam Townhouse,53.33653689999999,-6.2489916,Accommodation
Schoolhouse Hotel,53.3374152,-6.239490900000002,Accommodation
Grand Canal District Apartments,53.3364755,-6.2381075999999975,Accommodation
Apartments by Germe,53.33819519999999,-6.2457009,Accommodation
Gorgeous City Centre Penthouse,53.33901039999999,-6.2430036000000015,Accommodation
Grand Canal Hotel,53.3381632,-6.237890299999999,Accommodation
"Radisson Blu Royal Hotel, Dublin",53.34085289999999,-6.268324599999999,Accommodation
Destiny Student – Binary Hub (Campus Accommodation),53.3450315,-6.2832975,Accommodation
Jurys Inn Christchurch Dublin,53.34283199999999,-6.2705198,Accommodation
The Four Courts Hostel,53.344986,-6.2738948999999975,Accommodation
Christchurch Guinness Ground Floor,53.3426795,-6.2755718000000025,Accommodation
"Staycity Aparthotels - Saint Augustine Street, Dublin 8",53.34432619999999,-6.277240699999999,Accommodation
The Viking Lodge Hotel,53.3415075,-6.274602499999999,Accommodation
"Staycity Aparthotels - Christchurch, Dublin",53.34309520000001,-6.273901200000001,Accommodation
The Central Hotel,53.3430948,-6.263908799999999,Accommodation
The Mercantile Hotel,53.3440689,-6.263892999999999,Accommodation
Drury Court Hotel,53.3412378,-6.264441400000001,Accommodation
Brooks Hotel,53.341559,-6.263608000000001,Accommodation
Paramount Hotel,53.3447118,-6.268025499999998,Accommodation
Kinlay House Dublin,53.3437259,-6.269897999999999,Accommodation
Kellys Hotel,53.3419909,-6.264667299999998,Accommodation
Buswells Hotel,53.34081380000001,-6.2557335,Accommodation
Apache Hostel,53.34441169999999,-6.2647051,Accommodation
Harding Hotel,53.34379999999999,-6.2699,Accommodation
Handels Hotel by thekeycollections,53.34413780000001,-6.269632099999999,Accommodation
The Dawson Hotel,53.34039300000001,-6.2588370000000015,Accommodation
St. Stephens Green D2,53.3412659,-6.2642485999999975,Accommodation
The Kildare Street Hotel by thekeycollections,53.3420277,-6.2547945,Accommodation
Blooms Hotel,53.34477499999999,-6.261947999999999,Accommodation
Oliver St. John Gogarty's Hostel,53.3453782,-6.261729700000001,Accommodation
River House Hotel,53.34465609999999,-6.264702700000001,Accommodation
Trinity Townhouse Hotel,53.34195820000001,-6.2564555,Accommodation
The Davenport Hotel,53.34166670000001,-6.250027499999999,Accommodation
