combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures,knn_k
"['Hotel', 'Tourism', 'Museum', 'Restaurant', 'Liffey', 'Price Area']",0.40586527293844366,0.5121951219512195,0.23809523809523808,0.00978297188397469,0.5419279907084785,0.6190476190476191,0.42857142857142855,0.0031612351464480304,6,10
"['Hotel', 'Tourism', 'Museum', 'Company', 'Liffey', 'Price Area']",0.3868176538908246,0.5714285714285714,0.14285714285714285,0.019586484802130256,0.5036004645760743,0.6341463414634146,0.3333333333333333,0.00895845389514124,6,10
"['Hotel', 'Tourism', 'Restaurant', 'Company', 'Liffey', 'Price Area']",0.3533101045296167,0.5476190476190477,0.14285714285714285,0.015691798829387003,0.4626596980255517,0.5714285714285714,0.35714285714285715,0.004295443539303487,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Luas', 'Museum']",0.4373983739837398,0.5952380952380952,0.2619047619047619,0.015075979231668871,0.548896631823461,0.6428571428571429,0.43902439024390244,0.0030896062569386274,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Luas', 'Restaurant']",0.42758420441347267,0.6190476190476191,0.23809523809523808,0.014890988519143533,0.527177700348432,0.6428571428571429,0.4634146341463415,0.003228749758876385,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Luas', 'Company']",0.42044134727061555,0.5952380952380952,0.2619047619047619,0.012966312838837696,0.49866434378629504,0.5952380952380952,0.42857142857142855,0.00279191133125866,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Luas', 'Liffey']",0.40360046457607435,0.6428571428571429,0.23809523809523808,0.017984314487246418,0.49866434378629504,0.5952380952380952,0.43902439024390244,0.001998260537607866,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Luas', 'Price Area']",0.4086527293844367,0.6097560975609756,0.23809523809523808,0.016041704605697128,0.517711962833914,0.6190476190476191,0.43902439024390244,0.003375814930374292,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Museum', 'Restaurant']",0.39639953542392564,0.6190476190476191,0.21428571428571427,0.01662951676803976,0.511033681765389,0.5853658536585366,0.4523809523809524,0.0019573841831001687,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Museum', 'Company']",0.4010452961672474,0.5952380952380952,0.23809523809523808,0.011221333268584058,0.49157955865272934,0.5609756097560976,0.42857142857142855,0.0017135795424654114,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Museum', 'Liffey']",0.427061556329849,0.6904761904761905,0.2857142857142857,0.0149668766971393,0.5227642276422764,0.6190476190476191,0.42857142857142855,0.004854496230377934,6,10
