Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dublin 2,53.336978,-6.265288,Iveagh Gardens,53.33568033551687,-6.261059453641287,Park
Dublin 2,53.336978,-6.265288,Zaytoon,53.33387846050894,-6.2649510849923224,Middle Eastern Restaurant
Dublin 2,53.336978,-6.265288,The Fitzwilliam Hotel,53.339459245734425,-6.261932400452147,Hotel
Dublin 2,53.336978,-6.265288,St Stephen's Green Luas,53.33907240760599,-6.261462512241038,Tram Station
Dublin 2,53.336978,-6.265288,Copper Face Jacks,53.33536550108523,-6.263626846163823,Nightclub
Dublin 2,53.336978,-6.257723,St Stephen's Green,53.338150925581544,-6.259160041809082,Park
Dublin 2,53.336978,-6.257723,Conrad Dublin,53.334889469914415,-6.257342172665552,Hotel
Dublin 2,53.336978,-6.257723,"The Shelbourne Dublin, A Renaissance Hotel",53.3389725,-6.2560138,Hotel
Dublin 2,53.336978,-6.257723,Iveagh Gardens,53.33568033551687,-6.261059453641287,Park
Dublin 2,53.336978,-6.257723,Hatch & Sons,53.33951478287386,-6.258459815335718,Café
Dublin 2,53.336978,-6.257723,O'Donoghue's,53.33831437211282,-6.254161919107962,Pub
Dublin 2,53.336978,-6.257723,The Little Museum of Dublin,53.33947582686932,-6.258417506704857,History Museum
Dublin 2,53.336978,-6.257723,Peruke & Periwig,53.34008607089172,-6.25854214051159,Cocktail Bar
Dublin 2,53.336978,-6.257723,Doheny & Nesbitt,53.33805866507184,-6.252893828018674,Pub
Dublin 2,53.336978,-6.257723,Starbucks,53.33928722741872,-6.257499011187389,Coffee Shop
Dublin 2,53.336978,-6.257723,St Stephen's Green Luas,53.33907240760599,-6.261462512241038,Tram Station
Dublin 2,53.336978,-6.250158,Toners Pub,53.33783798655943,-6.252409709840669,Pub
Dublin 2,53.336978,-6.250158,Doheny & Nesbitt,53.33805866507184,-6.252893828018674,Pub
Dublin 2,53.336978,-6.250158,O'Donoghue's,53.33831437211282,-6.254161919107962,Pub
Dublin 2,53.336978,-6.250158,Merrion Square Park,53.34013752866365,-6.250450753527079,Park
Dublin 2,53.336978,-6.242594,Third Floor Espresso (3FE),53.339865,-6.242132,Coffee Shop
Dublin 4,53.336978,-6.235029,Paulie's Pizza,53.337259766693194,-6.234690803704816,Pizza Place
Dublin 4,53.336978,-6.235029,The Bath,53.337374176474874,-6.2321477607528895,Pub
Dublin 4,53.336978,-6.235029,Slattery's,53.33718306680516,-6.234548798210784,Pub
Dublin 4,53.336978,-6.235029,The Gasworks Bar,53.33811,-6.2374096,Bar
Dublin 4,53.336978,-6.235029,Grand Canal Dock Railway Station,53.339531558804765,-6.237296700155354,Train Station
Dublin 4,53.336978,-6.235029,Google Ireland,53.339834391738776,-6.237133696332402,Office
Dublin 4,53.336978,-6.235029,The Foundry,53.34006310147416,-6.2360648810863495,Event Space
Dublin 4,53.336978,-6.227464,Aviva Stadium,53.33475615864167,-6.228088097073558,Soccer Stadium
Dublin 4,53.336978,-6.227464,The Bath,53.337374176474874,-6.2321477607528895,Pub
Dublin 4,53.336978,-6.227464,Lansdowne Road DART Station,53.333998520681305,-6.22883380734766,Train Station
Dublin 8,53.341785,-6.295547,Irish Museum of Modern Art,53.34282081935464,-6.30004380430884,Art Museum
Dublin 8,53.341785,-6.287982,Guinness Storehouse,53.3418895355902,-6.286733803765022,Brewery
Dublin 8,53.341785,-6.287982,Gravity Bar,53.3418007487522,-6.2868310203070905,Bar
Dublin 8,53.341785,-6.287982,Guinness Academy,53.341941701297735,-6.286681947553234,Brewery
Dublin 8,53.341785,-6.280417,Vicar Street,53.34259,-6.2779856,Music Venue
Dublin 8,53.341785,-6.280417,Arthur's Pub,53.34326,-6.281174,Pub
Dublin 8,53.341785,-6.272853,St Patrick's Park,53.34011037061703,-6.271893684412651,Park
Dublin 8,53.341785,-6.272853,Beer Market,53.343245728556774,-6.273416811472963,Beer Bar
Dublin 8,53.341785,-6.272853,Dublinia,53.34340964320258,-6.2720579740741185,History Museum
Dublin 8,53.341785,-6.272853,FXB Bull and Castle,53.34340401433302,-6.270145238742394,Pub
Dublin 8,53.341785,-6.272853,Radisson Blu Royal Hotel,53.3404539,-6.2691614,Hotel
Dublin 8,53.341785,-6.272853,Darkey Kelly's,53.343936,-6.270008,Pub
Dublin 8,53.341785,-6.272853,Leo Burdock's,53.34306725342795,-6.269905221247651,Fish & Chips Shop
Dublin 8,53.341785,-6.272853,Vicar Street,53.34259,-6.2779856,Music Venue
Dublin 8,53.341785,-6.272853,Christ Church Cathedral,53.34311042099977,-6.271156571901247,Church
Dublin 8,53.341785,-6.272853,St Patrick's Cathedral,53.33959557062058,-6.271736936333106,Church
Dublin 2,53.341785,-6.265288,Fallon & Byrne Food Store,53.3430738876333,-6.26323344510237,Grocery Store
Dublin 2,53.341785,-6.265288,P. Mac’s,53.34124210282608,-6.2642640735837665,Pub
Dublin 2,53.341785,-6.265288,Clement & Pekoe,53.34158547952957,-6.262833177740008,Coffee Shop
Dublin 2,53.341785,-6.265288,Kaph,53.342577030893935,-6.263141509147564,Coffee Shop
Dublin 2,53.341785,-6.265288,Chester Beatty Library,53.34216575538019,-6.267362236976623,Art Museum
Dublin 2,53.341785,-6.265288,The Dubhlinn Gardens,53.342532468101396,-6.2667641043663025,Garden
Dublin 2,53.341785,-6.265288,Yamamori Noodles,53.3428214724645,-6.2644436120012115,Japanese Restaurant
Dublin 2,53.341785,-6.265288,George's Street Arcade Market,53.34247803964507,-6.2634902842058295,Market
Dublin 2,53.341785,-6.265288,Fade St. Social,53.341863713517284,-6.263800401605346,Gastropub
Dublin 2,53.341785,-6.265288,The Long Hall,53.341786863588524,-6.2650783896848585,Pub
Dublin 2,53.341785,-6.265288,Grogan's,53.34223766558269,-6.262529010708942,Pub
Dublin 2,53.341785,-6.265288,Bar with No Name / Bar No.3 / Kelly's / The Snail,53.3419357885594,-6.264289847369917,Pub
Dublin 2,53.341785,-6.265288,Rustic Stone,53.342989497628885,-6.264325120678386,Steakhouse
Dublin 2,53.341785,-6.265288,Brasserie Sixty6,53.342543144179146,-6.264582500445577,Restaurant
Dublin 2,53.341785,-6.265288,Umi Falafel,53.34390884649957,-6.2655585125726825,Falafel Restaurant
Dublin 2,53.341785,-6.265288,Pitt Bros Smoked BBQ Project,53.3435621936118,-6.264479347878297,BBQ Joint
Dublin 2,53.341785,-6.265288,Dublin Castle,53.34294241396025,-6.267509758472443,Castle
Dublin 2,53.341785,-6.265288,The Market Bar,53.342327837419155,-6.263994486940162,Pub
Dublin 2,53.341785,-6.265288,The Hairy Lemon,53.341176137776024,-6.263922523044596,Pub
Dublin 2,53.341785,-6.265288,Dunnes Stores,53.342735471682694,-6.264165754578614,Supermarket
Dublin 2,53.341785,-6.265288,The Exchequer,53.34321621014933,-6.263709366243996,Gastropub
Dublin 2,53.341785,-6.265288,Kokoro Bento - The Ramen Bar,53.34161031356423,-6.26277336188155,Ramen Restaurant
Dublin 2,53.341785,-6.265288,The George,53.34372043118453,-6.264475465258769,Gay Bar
Dublin 2,53.341785,-6.265288,Yamamori Izakaya,53.34329823750577,-6.264454421541874,Japanese Restaurant
Dublin 2,53.341785,-6.265288,Hogan's Bar,53.34207529764807,-6.264643878713559,Pub
Dublin 2,53.341785,-6.265288,Pygmalion,53.34211568288781,-6.262048889441479,Bar
Dublin 2,53.341785,-6.265288,The Stag's Head,53.34386136039415,-6.26353760982456,Pub
Dublin 2,53.341785,-6.265288,Powerscourt Townhouse Centre,53.342187438783235,-6.261848987232552,Shopping Mall
Dublin 2,53.341785,-6.265288,The Globe,53.34335620285779,-6.264457151263386,Pub
Dublin 2,53.341785,-6.265288,The Westbury Hotel,53.341394086699125,-6.261247778318707,Hotel
Dublin 2,53.341785,-6.265288,Murphy's Ice Cream,53.34301112406989,-6.261596115369228,Ice Cream Shop
