combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures
"['Tourism', 'Cafe']",0.36264679313459797,0.4691358024691358,0.25609756097560976,0.004401180710090749,0.5574375188196325,0.5925925925925926,0.47560975609756095,0.001519602882970514,2
"['Tourism', 'Pub']",0.31082505269497135,0.4444444444444444,0.19753086419753085,0.007933569428203231,0.5525293586269195,0.6419753086419753,0.45121951219512196,0.002664567345429217,2
"['Tourism', 'Luas']",0.3365853658536585,0.4444444444444444,0.1728395061728395,0.0071672741084197605,0.5722071665161097,0.6790123456790124,0.5121951219512195,0.003279125537750743,2
"['Tourism', 'Museum']",0.4057813911472447,0.5432098765432098,0.2839506172839506,0.0071843635362313,0.5636103583258054,0.6419753086419753,0.47560975609756095,0.003150080093092409,2
"['Tourism', 'Restaurant']",0.35401987353206865,0.4691358024691358,0.18518518518518517,0.008419409266861914,0.559936766034327,0.6296296296296297,0.45121951219512196,0.003203227053013948,2
"['Tourism', 'Company']",0.28488407106293284,0.345679012345679,0.2222222222222222,0.00180560485721288,0.5179464016862391,0.6296296296296297,0.41975308641975306,0.00408322808846209,2
"['Tourism', 'Liffey']",0.33797049081601926,0.3950617283950617,0.24390243902439024,0.0017080215768533271,0.5549382716049382,0.654320987654321,0.4567901234567901,0.002807879896357263,2
"['Tourism', 'Price Area']",0.323095453176754,0.43209876543209874,0.1111111111111111,0.011659273004787996,0.5167268894911172,0.6172839506172839,0.41975308641975306,0.003132223599495187,2
"['University', 'Cafe']",0.40453176753989767,0.5308641975308642,0.2716049382716049,0.008497440756635144,0.5586720867208671,0.6172839506172839,0.4691358024691358,0.0031137977000901527,2
"['University', 'Pub']",0.303417645287564,0.49382716049382713,0.16049382716049382,0.008581671108122635,0.5500150557061126,0.6172839506172839,0.4691358024691358,0.0023639988281846085,2
"['University', 'Luas']",0.38212887684432395,0.5061728395061729,0.2345679012345679,0.008269986710539929,0.5672990063233966,0.691358024691358,0.4878048780487805,0.003598046285257256,2
"['University', 'Museum']",0.42178560674495635,0.5308641975308642,0.35365853658536583,0.003709657303839928,0.561111111111111,0.6296296296296297,0.48148148148148145,0.0028536046334400257,2
"['University', 'Restaurant']",0.3194218608852755,0.49382716049382713,0.14814814814814814,0.011569234351381954,0.5537789822342669,0.6172839506172839,0.43902439024390244,0.0031228182033233897,2
"['University', 'Company']",0.35141523637458594,0.49382716049382713,0.24691358024691357,0.00500318409370316,0.5537037037037037,0.6419753086419753,0.48148148148148145,0.0027286236854138094,2
