Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dublin 2,53.341785,-6.265288,The International,53.34303034374333,-6.261909709842305,Pub
Dublin 2,53.341785,-6.265288,The Globe,53.34335620285779,-6.264457151263386,Pub
Dublin 2,53.341785,-6.265288,Bruxelles,53.34130514416061,-6.260923862324831,Pub
Dublin 2,53.341785,-6.265288,The Bankers,53.34401542711867,-6.262354673056751,Pub
Dublin 2,53.341785,-6.265288,The Mezz,53.34475142353663,-6.264793402801938,Pub
Dublin 2,53.341785,-6.265288,Mulligan And Haines,53.34418697709725,-6.26345408760474,Pub
Dublin 2,53.341785,-6.265288,Pygmalion,53.34211568288781,-6.262048889441479,Bar
Dublin 2,53.341785,-6.265288,McDaid's,53.341322033078775,-6.260944058731135,Pub
Dublin 2,53.341785,-6.265288,Lord Edward Pub & Restaurant,53.343255502876765,-6.2701094322620605,Pub
Dublin 2,53.341785,-6.265288,Sinnotts Bar,53.340182099555214,-6.261637922020892,Pub
Dublin 2,53.341785,-6.265288,The Trinity,53.344267060030184,-6.263581042038247,Pub
Dublin 2,53.341785,-6.265288,Mary's,53.3427946324721,-6.260356236048963,Pub
Dublin 2,53.341785,-6.265288,The Old Stand,53.343089776897905,-6.26204125531542,Sports Bar
Dublin 2,53.341785,-6.265288,Fade St. Social,53.341863713517284,-6.263800401605346,Gastropub
Dublin 2,53.341785,-6.265288,The Rag Trader,53.34279640453959,-6.262776195041484,Pub
Dublin 2,53.341785,-6.265288,Legends Bar,53.34399193384518,-6.268221251390076,Pub
Dublin 2,53.341785,-6.265288,Harry's on the Green,53.34051656061663,-6.262998312006723,Pub
Dublin 2,53.341785,-6.265288,Crowbar,53.345013835794525,-6.264286175789184,Bar
Dublin 2,53.341785,-6.265288,The Mercantile Bar & Grill,53.34413506914928,-6.264072804642472,Pub
Dublin 2,53.341785,-6.265288,Brogan's,53.344177618221096,-6.2663506413005265,Pub
Dublin 2,53.341785,-6.265288,Radisson Blu Royal Hotel,53.3404539,-6.2691614,Hotel
Dublin 2,53.341785,-6.265288,Johnny Rush's,53.342834776733476,-6.262238917208046,Pub
Dublin 2,53.341785,-6.265288,The Larder,53.34453514032603,-6.267132448619216,Restaurant
Dublin 2,53.341785,-6.265288,Citi Bar & Venue,53.34425043549996,-6.2636408108825625,Pub
Dublin 2,53.341785,-6.265288,The George,53.34372043118453,-6.264475465258769,Gay Bar
Dublin 2,53.341785,-6.265288,The Central Hotel,53.34304542209644,-6.2640434726273595,Hotel
Dublin 2,53.341785,-6.265288,The Parliament Hotel,53.344016709566304,-6.268193668402017,Hotel
Dublin 2,53.341785,-6.257723,Kehoe's,53.341143073712324,-6.259436503698157,Pub
Dublin 2,53.341785,-6.257723,The Porterhouse Central,53.34318517785589,-6.259394495871815,Pub
Dublin 2,53.341785,-6.257723,The Duke,53.3419184072068,-6.258787748442203,Pub
Dublin 2,53.341785,-6.257723,Grogan's,53.34223766558269,-6.262529010708942,Pub
Dublin 2,53.341785,-6.257723,Neary's,53.34077384976508,-6.261159847611721,Pub
Dublin 2,53.341785,-6.257723,O'Neills Bar & Restaurant,53.3438681996721,-6.260812378967063,Pub
Dublin 2,53.341785,-6.257723,Bruxelles,53.34130514416061,-6.260923862324831,Pub
Dublin 2,53.341785,-6.257723,Sheehan's,53.34096987627002,-6.261840611053778,Pub
Dublin 2,53.341785,-6.257723,Bailey Bar Dublin,53.341963651257714,-6.259444794513737,Pub
Dublin 2,53.341785,-6.257723,McDaid's,53.341322033078775,-6.260944058731135,Pub
Dublin 2,53.341785,-6.257723,Jp Mooneys,53.342014,-6.2548094,Pub
Dublin 2,53.341785,-6.257723,The International,53.34303034374333,-6.261909709842305,Pub
Dublin 2,53.341785,-6.257723,37 Dawson Street,53.34055807168649,-6.25862996524676,Bar
Dublin 2,53.341785,-6.257723,Mary's,53.3427946324721,-6.260356236048963,Pub
Dublin 2,53.341785,-6.257723,Bar Rua,53.340986309576664,-6.2623536185298025,Pub
Dublin 2,53.341785,-6.257723,The Pig's Ear,53.3422594524162,-6.254986572364017,Restaurant
Dublin 2,53.341785,-6.257723,O'Donoghues,53.34341880983009,-6.259661504062027,Pub
Dublin 2,53.341785,-6.257723,Pygmalion,53.34211568288781,-6.262048889441479,Bar
Dublin 2,53.341785,-6.257723,Sinnotts Bar,53.340182099555214,-6.261637922020892,Pub
Dublin 2,53.341785,-6.257723,Café en Seine,53.3406944940634,-6.258701805764851,Bar
Dublin 2,53.341785,-6.257723,Peruke & Periwig,53.34008607089172,-6.25854214051159,Cocktail Bar
