combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures
"['Hotel', 'Liffey']",0.39088269454123115,0.6585365853658537,0.21428571428571427,0.017610215412756418,0.5120789779326365,0.6829268292682927,0.3902439024390244,0.006103887519711435,2
"['Hotel', 'Price Area']",0.5222415795586528,0.7857142857142857,0.09523809523809523,0.03035756777428401,0.5462833914053427,0.6829268292682927,0.42857142857142855,0.005580851614887479,2
"['Tourism', 'University']",0.29297328687572594,0.4523809523809524,0.12195121951219512,0.013201113282909831,0.47282229965156797,0.7073170731707317,0.34146341463414637,0.012565798082072404,2
"['Tourism', 'Cafe']",0.35801393728223,0.7142857142857143,0.12195121951219512,0.03773340091539292,0.4900116144018584,0.5714285714285714,0.2926829268292683,0.007010849551004223,2
"['Tourism', 'Pub']",0.42003484320557494,0.7317073170731707,0.09523809523809523,0.03693636427404593,0.5382113821138212,0.7380952380952381,0.34146341463414637,0.013563206761983002,2
"['Tourism', 'Luas']",0.33890824622531934,0.5714285714285714,0.12195121951219512,0.019589570509941034,0.5099303135888501,0.7073170731707317,0.3902439024390244,0.0068363401279607616,2
"['Tourism', 'Museum']",0.2863530778164925,0.42857142857142855,0.07317073170731707,0.01547065643628064,0.4825203252032521,0.6585365853658537,0.34146341463414637,0.009190920667295276,2
"['Tourism', 'Restaurant']",0.43286875725900115,0.8571428571428571,0.07317073170731707,0.046838292723395125,0.4922764227642277,0.6428571428571429,0.34146341463414637,0.007034877603629199,2
"['Tourism', 'Company']",0.3529616724738676,0.6666666666666666,0.07317073170731707,0.031117275782016156,0.4946573751451801,0.6666666666666666,0.34146341463414637,0.009349647453667167,2
"['Tourism', 'Liffey']",0.35847851335656217,0.5238095238095238,0.1951219512195122,0.013579815626429037,0.5046457607433218,0.6190476190476191,0.3902439024390244,0.008590947781055711,2
"['Tourism', 'Price Area']",0.31701509872241573,0.5952380952380952,0.07317073170731707,0.023971832040371174,0.5165505226480835,0.6904761904761905,0.3902439024390244,0.009240750632991648,2
"['University', 'Cafe']",0.321718931475029,0.7619047619047619,0.12195121951219512,0.027347397416233994,0.5171312427409989,0.6341463414634146,0.3902439024390244,0.005700853611323569,2
"['University', 'Pub']",0.4419860627177701,0.8048780487804879,0.07142857142857142,0.056952281805048036,0.5581881533101045,0.6904761904761905,0.4523809523809524,0.0073696684702038665,2
"['University', 'Luas']",0.32473867595818817,0.5609756097560976,0.12195121951219512,0.01843909723318239,0.5195702671312428,0.6585365853658537,0.3170731707317073,0.01106187805282732,2
"['University', 'Museum']",0.37171893147502905,0.6829268292682927,0.023809523809523808,0.04040034276649387,0.5240418118466897,0.6097560975609756,0.36585365853658536,0.004719966114544171,2
"['University', 'Restaurant']",0.3394308943089431,0.6585365853658537,0.12195121951219512,0.03436320096152679,0.49483159117305464,0.5853658536585366,0.36585365853658536,0.004517506586215687,2
"['University', 'Company']",0.3279326364692219,0.8333333333333334,0.024390243902439025,0.09626828661268197,0.48286875725900125,0.5365853658536586,0.4146341463414634,0.001904792255986274,2
"['University', 'Liffey']",0.314924506387921,0.5,0.12195121951219512,0.014398084635400859,0.5171893147502903,0.7073170731707317,0.42857142857142855,0.007291052054373205,2
"['University', 'Price Area']",0.3275261324041812,0.6829268292682927,0.04878048780487805,0.04800774563245882,0.47090592334494763,0.6097560975609756,0.35714285714285715,0.00646362709271692,2
"['Cafe', 'Pub']",0.3411149825783972,0.7073170731707317,0.07142857142857142,0.05574961453945052,0.5481997677119629,0.6666666666666666,0.36585365853658536,0.007270534626700173,2
"['Cafe', 'Luas']",0.3321138211382114,0.6585365853658537,0.0975609756097561,0.03175685364369821,0.5779326364692218,0.6585365853658537,0.5,0.0024816375092571227,2
"['Cafe', 'Museum']",0.3953542392566783,0.8536585365853658,0.11904761904761904,0.0828731278353102,0.5166085946573752,0.5952380952380952,0.4146341463414634,0.0033228655332845024,2
"['Cafe', 'Restaurant']",0.1534262485481998,0.4878048780487805,0.023809523809523808,0.01944250871080139,0.5116144018583043,0.6190476190476191,0.3170731707317073,0.006982737572522565,2
"['Cafe', 'Company']",0.306678281068525,0.8095238095238095,0.024390243902439025,0.05012581931444003,0.5046457607433219,0.5714285714285714,0.3902439024390244,0.0025679159230616697,2
